Id,Designator,Quantity,Manufacturer,Mfg Part #,Description / Value,Mouser Part #,Footprint,Mounting
1,"U2,U3",2,ANALOG DEVICES,LT1129CST-3.3#TRPBF,SMD IC LDO 3.3V SOT223,584-1129CST-3.3TRPBF,SMD SOT-223-3,SMD
22,SW1,1,CUI DEVICES,TS04-66-65-BK-100-SMT,SMD SWITCH TACTILE CUI-TS04,179-TS046665BK100SMT,CUI-TS04-SWITCH,SMD
3,J23,1,HARWIN,M50-3600542R,SMD PinHeader_2x05_P1.27mm_Vertical,855-M50-3600542R,PinHeader_2x05_P1.27mm_Vertical_SMD,SMD
11,"LED1,LED2,LED3,LED4",4,KINGBRIGHT,APHHS1005CGCK,SMD LED 0402 GREEN VF=2.1V,604-APHHS1005CGCK,KINGBRIGHT-LED-APHHS1005-0402,SMD
17,LED5,1,KINGBRIGHT,APHHS1005SECK,SMD LED 0402 ORANGE VF=2.1V,604-APHHS1005SECK,KINGBRIGHT-LED-APHHS1005-0402,SMD
16,LED6,1,KINGBRIGHT,APHHS1005SURCK,SMD LED 0402 RED VF=1.95V,604-APHHS1005SURCK,KINGBRIGHT-LED-APHHS1005-0402,SMD
20,U1,1,NXP,"PCA9685PW,112",SMD IC I2C PWM DRIVER,"771-PCA9685PW,112",SMD TSSOP28,SMD
25,IC1,1,STM,A3G4250DTR,SMD IC GYROSCOPE LGA16,511-A3G4250DTR,SMD LGA16,SMD
14,IC2,1,STM,LIS2HH12TR,SMD IC ACCELEROMETER 3-AXIS LGA12,511-LIS2HH12TR,SMD LGA12,SMD
19,IC3,1,STM,ASM330LHHXTR,SMD IC IMU 6-AXIS LGA14L,511-ASM330LHHXTR,SMD LGA14L,SMD
21,IC4,1,STM,IIS2MDCTR,SMD IC MAGNETOMETER 3-AXIS LGA12,511-IIS2MDCTR,SMD LGA12,SMD
7,IC5,1,STM,ILPS22QSTR,SMD IC BAROMETER LGA10,511-ILPS22QSTR,SMD LGA10,SMD
6,MCU1,1,STM,STM32H723VGT6,SMD IC MCU STM32H723VGT6,511-STM32H723VGT6,SMD LQFP100-14X14X1.4,SMD
2,"C12,C28,C14,C22,C10,C4,C15,C25,C6,C16,C1,C27,C18,C8,C26,C21,C9,C17,C11",19,,,SMD CAPACITOR 0402 100nF X7R 10V,,SMD 0402,SMD
24,C13,1,,,SMD CAPACITOR 0402 4.7uF X7R 10V,,SMD 0402,SMD
18,"C2,C3",2,,,SMD CAPACITOR 0402 2.2uF X7R 10V,,SMD 0402,SMD
10,"C20,C19",2,,,SMD CAPACITOR 0402 10uF X7R 10V,,SMD 0402,SMD
12,C23,1,,,SMD CAPACITOR 0402 10nF X7R 10V,,SMD 0402,SMD
15,C24,1,,,SMD CAPACITOR 0402 470nF X7R 10V,,SMD 0402,SMD
4,"C32,C30,C31,C29",4,,,SMD CAPACITOR 0805 10uF X5R 10V,,SMD 0805,SMD
9,"C5,C7",2,,,SMD CAPACITOR 0402 1uF X7R 10V,,SMD 0402,SMD
23,R12,1,,,SMD RESISTOR 0402 68R 10%,,SMD 0402,SMD
5,"R5,R6,R7,R4,R2,R1,R3",7,,,SMD RESISTOR 0402 10K 10%,,SMD 0402,SMD
13,R8,1,,,SMD RESISTOR 0402 147R 10%,,SMD 0402,SMD
8,"R9,R10,R11,R13",4,,,SMD RESISTOR 0402 60R4 10%,,SMD 0402,SMD
