Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
C1,1,22nF,C_0402_1005Metric,,,,smt
C10,1,1uF,C_0402_1005Metric,,,,smt
"C11, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C33",20,100nF,C_0402_1005Metric,,,,smt
C12,1,4.7uF,C_0402_1005Metric,,,,smt
C2,1,10pF,C_0402_1005Metric,,,,smt
"C3, C4, C5, C6, C7, C8",6,2.2uF,C_0402_1005Metric,,,,smt
"C31, C32",2,10uF,C_0805_2012Metric,,,,smt
"C34, C35, C36",3,1uF,C_0603_1608Metric,,,,smt
"C37, C38",2,1uF,C_0805_2012Metric,,,,smt
C9,1,10uF,C_0402_1005Metric,,,,smt
D1,1,BAT60JFILM,STM-BAT60JFILM-SOT-323-2,,,,smt
"D2, D3",2,ESDA7P60-1U1M,STM-ESDA7P60-1U1M,,,,smt
FB1,1,L_Bead,L_0402_1005Metric,,,,smt
IC1,1,FUJITSU-MB85RC64TAPN,FUJITSU-MB85RC64TAPN-SON8,,,,smt
"J1, J100, J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J118, J119, J120, J121, J122, J123, J124, J125, J126, J127, J128, J129, J130, J131, J132, J133, J134, J135, J136, J137, J138, J139, J140, J141, J142, J147, J148, J149, J150, J151, J18, J19, J2, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J3, J30, J31, J32, J34, J35, J37, J38, J4, J40, J41, J42, J43, J44, J45, J46, J47, J48, J49, J5, J50, J51, J52, J53, J54, J55, J56, J57, J58, J59, J6, J60, J61, J62, J63, J64, J65, J66, J67, J68, J69, J70, J71, J72, J73, J74, J75, J76, J77, J78, J79, J80, J81, J82, J83, J84, J85, J86, J87, J88, J89, J90, J91, J92, J93, J94, J95, J96, J97, J98, J99",133,Conn_01x01,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,,,,tht
J17,1,CONNECTOR-DEBUG-SPECIFIC-ARM,PinHeader_2x05_P1.27mm_Vertical_SMD,,,,smt
"LED1, LED2, LED3, LED5",4,KINGBRIGHT-LED-0402-ORANGE,KINGBRIGHT-LED-APHHS1005-0402,,,,smt
"LED10, LED11",2,APHB1608CGKSURKC,KINGBRIGHT-APHB1608CGKSURKC,,,,smt
"LED4, LED6",2,KINGBRIGHT-LED-0402-RED,KINGBRIGHT-LED-APHHS1005-0402,,,,smt
MCU1,1,STM-STM32H755ZITx,LQFP-144_20x20mm_P0.5mm,,,,smt
"Q1, Q2, Q3, Q4",4,DIODESINC-MMBT4401-7-F-SOT-23-3,SOT-23-3,,,,smt
"R1, R2, R3",3,22R,R_0402_1005Metric,,,,smt
"R10, R11, R12, R30, R31, R32, R33, R7, R8, R9",10,?,R_0402_1005Metric,,,,smt
"R13, R14, R15, R16",4,47K,R_0402_1005Metric,,,,smt
"R17, R18, R19, R20, R21, R4, R5",7,10K,R_0402_1005Metric,,,,smt
"R22, R23",2,20K,R_0402_1005Metric,,,,smt
R6,1,1K,R_0402_1005Metric,,,,smt
SW1,1,B3U1000PM,OMRON-B3U-1000PM,,,,smt
U1,1,LD1117S50TR_SOT223,SOT-223-3_TabPin2,,,,smt
"U3, U4",2,LM66100DCK,SOT-363_SC-70-6,,,,smt
U5,1,AP2112K-3.3,SOT-23-5,,,,smt
Y1,1,ABRACON-ABM10AIG-48.000MHZ-4Z-T3,ABRACON-ABM10AIG,,,,smt
Y2,1,ABRACON-ABS07-LR-32.768KHZ-6-1-T,ABRACON-ABS07-LR,,,,smt
