pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
-11.43,29.21,180.0,top,C1,,,C_0402_1005Metric,22nF,smt
-11.2776,-10.7188,180.0,top,C10,,,C_0402_1005Metric,1uF,smt
-11.2776,-9.7282,180.0,top,C11,,,C_0402_1005Metric,100nF,smt
-10.795,11.303,90.0,top,C12,,,C_0402_1005Metric,4.7uF,smt
-8.636,12.7,90.0,top,C13,,,C_0402_1005Metric,100nF,smt
12.7,6.731,0.0,top,C14,,,C_0402_1005Metric,100nF,smt
12.7,-0.254,0.0,top,C15,,,C_0402_1005Metric,100nF,smt
-6.2738,-12.672,-90.0,top,C16,,,C_0402_1005Metric,100nF,smt
8.7376,-13.2334,0.0,top,C17,,,C_0402_1005Metric,100nF,smt
-12.7,5.1054,180.0,top,C18,,,C_0402_1005Metric,100nF,smt
0.762,-12.7,-90.0,top,C19,,,C_0402_1005Metric,100nF,smt
-18.923,33.0708,180.0,top,C2,,,C_0402_1005Metric,10pF,smt
8.7376,-12.2428,0.0,top,C20,,,C_0402_1005Metric,100nF,smt
-12.7,-6.7564,180.0,top,C21,,,C_0402_1005Metric,100nF,smt
-12.192,0.381,90.0,top,C22,,,C_0402_1005Metric,100nF,smt
12.7,-5.588,0.0,top,C23,,,C_0402_1005Metric,100nF,smt
12.7,0.762,0.0,top,C24,,,C_0402_1005Metric,100nF,smt
-9.779,11.303,90.0,top,C25,,,C_0402_1005Metric,100nF,smt
-12.192,2.286,-90.0,top,C26,,,C_0402_1005Metric,100nF,smt
12.7,7.7216,0.0,top,C27,,,C_0402_1005Metric,100nF,smt
3.7592,12.7,90.0,top,C28,,,C_0402_1005Metric,100nF,smt
-1.4224,12.7,90.0,top,C29,,,C_0402_1005Metric,100nF,smt
-17.526,-1.778,0.0,top,C3,,,C_0402_1005Metric,2.2uF,smt
-12.7,6.096,180.0,top,C30,,,C_0402_1005Metric,100nF,smt
-18.415,-57.47,90.0,top,C31,,,C_0805_2012Metric,10uF,smt
-6.985,-57.47,90.0,top,C32,,,C_0805_2012Metric,10uF,smt
-17.145,14.605,0.0,top,C33,,,C_0402_1005Metric,100nF,smt
4.826,-59.195,-90.0,top,C34,,,C_0603_1608Metric,1uF,smt
9.779,-59.195,-90.0,top,C35,,,C_0603_1608Metric,1uF,smt
14.732,-59.195,-90.0,top,C36,,,C_0603_1608Metric,1uF,smt
16.637,-59.37,-90.0,top,C37,,,C_0805_2012Metric,1uF,smt
22.987,-59.37,-90.0,top,C38,,,C_0805_2012Metric,1uF,smt
-19.685,-3.556,-90.0,top,C4,,,C_0402_1005Metric,2.2uF,smt
-18.2118,4.981,90.0,top,C5,,,C_0402_1005Metric,2.2uF,smt
-18.2118,2.8982,-90.0,top,C6,,,C_0402_1005Metric,2.2uF,smt
6.7564,-12.6746,-90.0,top,C7,,,C_0402_1005Metric,2.2uF,smt
-6.985,12.7,90.0,top,C8,,,C_0402_1005Metric,2.2uF,smt
-11.2776,-12.7508,0.0,top,C9,,,C_0402_1005Metric,10uF,smt
-21.59,-58.42,180.0,top,D1,,,STM-BAT60JFILM-SOT-323-2,BAT60JFILM,smt
-2.54,-64.77,90.0,top,D2,,,STM-ESDA7P60-1U1M,ESDA7P60-1U1M,smt
